,Scout Name,Match Number,Dead,No Show,Team Number,Cross Auto,Switch Auto,Scale Auto,Auto Other,Tele-Switch,Tele-Scale,Tele-Portal,Tele-Switch-#,Tele-Scale-#,Tele-Portal-#,Climb-True,Tech-fouls,Attempted,Penalties,Climb-No
H5_ (1).pdf,Azalia,1,FALSE,FALSE,3164,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,3,0,0,TRUE,,FALSE,,FALSE
H5_ (10).pdf,Azalia,13,FALSE,FALSE,1523,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,4,0,0,FALSE,,TRUE,,FALSE
H5_ (11).pdf,Azalia,12,FALSE,FALSE,3242,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,0,0,3,FALSE,,TRUE,,FALSE
H5_ (12).pdf,Azalia,14,FALSE,FALSE,5685686,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,3,0,0,FALSE,,FALSE,,TRUE
H5_ (13).pdf,Azalia,15,TRUE,FALSE,7231,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,0,0,0,FALSE,,FALSE,,FALSE
H5_ (14).pdf,Azalia,16,FALSE,FALSE,2797,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,1,0,0,FALSE,,FALSE,,TRUE
H5_ (15).pdf,Barb,28,FALSE,FALSE,3932,TRUE,TRUE,FALSE,,FALSE,TRUE,FALSE,0,4,0,TRUE,,FALSE,,FALSE
H5_ (16).pdf,Barb,29,FALSE,FALSE,7107,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,0,0,0,FALSE,,FALSE,2,FALSE
H5_ (17).pdf,Bzrb,30,FALSE,FALSE,5872,TRUE,FALSE,FALSE,Fell over,FALSE,FALSE,FALSE,0,0,0,FALSE,,FALSE,,FALSE
H5_ (18).pdf,Barb,31,FALSE,FALSE,7194,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,1,0,0,FALSE,1,FALSE,,TRUE
H5_ (19).pdf,Barb,32,FALSE,FALSE,7026,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,0,0,0,FALSE,1,FALSE,,FALSE
H5_ (2).pdf,Azalia,2,FALSE,FALSE,1251,FALSE,FALSE,FALSE,,TRUE,TRUE,FALSE,3,3,0,FALSE,,FALSE,,TRUE
H5_ (20).pdf,Barb,33,FALSE,FALSE,1477,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,0,5,0,FALSE,,FALSE,,TRUE
H5_ (21).pdf,Barb,34,FALSE,FALSE,801,TRUE,TRUE,FALSE,,FALSE,TRUE,FALSE,0,0,0,TRUE,,FALSE,,FALSE
H5_ (22).pdf,Barb,35,FALSE,FALSE,1744,TRUE,TRUE,FALSE,,TRUE,TRUE,FALSE,3,1,0,FALSE,,FALSE,,TRUE
H5_ (23).pdf,Barb,36,FALSE,FALSE,1876,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,0,3,0,TRUE,,FALSE,,FALSE
H5_ (24).pdf,Barb,37,FALSE,FALSE,4118,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,0,5,0,FALSE,,FALSE,,TRUE
H5_ (25).pdf, Barb,38,TRUE,FALSE,5605,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,0,0,0,FALSE,,FALSE,,FALSE
H5_ (26).pdf,Bzrb,39,FALSE,FALSE,179,TRUE,FALSE,TRUE,,TRUE,TRUE,FALSE,3,3,0,TRUE,,FALSE,,FALSE
H5_ (27).pdf,Barb,40,FALSE,FALSE,348,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,1,0,0,FALSE,,FALSE,,TRUE
H5_ (28).pdf,Barb,41,FALSE,FALSE,2383,TRUE,TRUE,FALSE,,TRUE,TRUE,FALSE,3,3,0,FALSE,,FALSE,,TRUE
,,,,,,,,,,,,,,,,,,,,
H5_ (3).pdf,Azalia,3,FALSE,FALSE,6225,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,0,0,7,FALSE,,FALSE,,FALSE
H5_ (30).pdf,Robbie,51,FALSE,FALSE,1065,TRUE,FALSE,TRUE,,TRUE,TRUE,TRUE,1,3,3,FALSE,,FALSE,,TRUE
H5_ (31).pdf,Robbie,52,FALSE,FALSE,6388,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,0,0,3,FALSE,,FALSE,,TRUE
H5_ (32).pdf,Robbie,53,FALSE,FALSE,5842,TRUE,TRUE,FALSE,,TRUE,TRUE,FALSE,4,3,0,FALSE,,TRUE,,FALSE
H5_ (33).pdf,Robbie,55,FALSE,FALSE,1369,TRUE,FALSE,FALSE,,TRUE,TRUE,FALSE,3,5,0,FALSE,,FALSE,,TRUE
H5_ (34).pdf,Robbie,56,FALSE,FALSE,386,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,0,0,0,FALSE,,FALSE,,FALSE
H5_ (35).pdf,Gabby b,59,FALSE,FALSE,108,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,0,0,0,FALSE,,FALSE,,FALSE
H5_ (36).pdf,Robbie,54,FALSE,FALSE,3164,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,0,0,3,FALSE,,TRUE,,FALSE
H5_ (37).pdf,Joey,48,FALSE,FALSE,5773,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,1,0,0,FALSE,,FALSE,,TRUE
